"","Var1","Freq"
"1","GO:0000049",1
"2","GO:0000148",1
"3","GO:0000166",1
"4","GO:0000272",1
"5","GO:0000287",1
"6","GO:0000462",1
"7","GO:0002098",1
"8","GO:0003676",12
"9","GO:0003677",2
"10","GO:0003690",2
"11","GO:0003700",3
"12","GO:0003723",3
"13","GO:0003735",4
"14","GO:0003743",1
"15","GO:0003746",1
"16","GO:0003756",1
"17","GO:0003779",1
"18","GO:0003824",3
"19","GO:0003843",1
"20","GO:0003899",3
"21","GO:0003924",1
"22","GO:0003993",2
"23","GO:0004012",1
"24","GO:0004185",1
"25","GO:0004190",1
"26","GO:0004252",1
"27","GO:0004375",1
"28","GO:0004386",2
"29","GO:0004402",1
"30","GO:0004427",1
"31","GO:0004452",1
"32","GO:0004553",2
"33","GO:0004587",1
"34","GO:0004601",1
"35","GO:0004672",16
"36","GO:0004722",1
"37","GO:0004812",1
"38","GO:0004828",1
"39","GO:0004843",1
"40","GO:0004857",1
"41","GO:0004869",1
"42","GO:0005506",6
"43","GO:0005515",13
"44","GO:0005524",22
"45","GO:0005525",3
"46","GO:0005622",3
"47","GO:0005634",4
"48","GO:0005737",3
"49","GO:0005778",1
"50","GO:0005783",2
"51","GO:0005840",4
"52","GO:0005852",1
"53","GO:0005874",1
"54","GO:0005975",2
"55","GO:0006075",1
"56","GO:0006108",1
"57","GO:0006260",1
"58","GO:0006351",1
"59","GO:0006355",7
"60","GO:0006383",1
"61","GO:0006397",1
"62","GO:0006412",5
"63","GO:0006414",1
"64","GO:0006418",1
"65","GO:0006434",1
"66","GO:0006457",1
"67","GO:0006468",16
"68","GO:0006470",1
"69","GO:0006486",1
"70","GO:0006508",5
"71","GO:0006546",1
"72","GO:0006784",1
"73","GO:0006801",1
"74","GO:0006810",2
"75","GO:0006950",1
"76","GO:0006979",1
"77","GO:0007010",1
"78","GO:0007017",1
"79","GO:0007165",1
"80","GO:0008152",4
"81","GO:0008168",1
"82","GO:0008236",1
"83","GO:0008237",1
"84","GO:0008270",4
"85","GO:0008299",1
"86","GO:0008375",1
"87","GO:0008483",1
"88","GO:0008641",1
"89","GO:0008654",1
"90","GO:0008734",1
"91","GO:0009055",2
"92","GO:0009435",1
"93","GO:0009678",1
"94","GO:0009725",1
"95","GO:0015035",1
"96","GO:0015078",1
"97","GO:0015914",1
"98","GO:0015991",1
"99","GO:0015992",1
"100","GO:0016020",7
"101","GO:0016021",7
"102","GO:0016161",1
"103","GO:0016491",4
"104","GO:0016560",1
"105","GO:0016573",1
"106","GO:0016579",1
"107","GO:0016615",1
"108","GO:0016616",1
"109","GO:0016627",2
"110","GO:0016671",1
"111","GO:0016705",6
"112","GO:0016757",3
"113","GO:0016758",1
"114","GO:0016780",1
"115","GO:0016787",3
"116","GO:0016887",2
"117","GO:0016972",1
"118","GO:0017038",1
"119","GO:0020037",7
"120","GO:0022857",1
"121","GO:0030001",1
"122","GO:0030170",1
"123","GO:0030246",1
"124","GO:0030247",2
"125","GO:0030515",1
"126","GO:0031072",1
"127","GO:0032549",1
"128","GO:0033180",1
"129","GO:0034227",1
"130","GO:0042256",1
"131","GO:0042626",2
"132","GO:0043022",1
"133","GO:0043531",3
"134","GO:0043565",2
"135","GO:0045454",2
"136","GO:0046872",3
"137","GO:0048193",1
"138","GO:0048544",3
"139","GO:0051015",1
"140","GO:0051017",1
"141","GO:0051082",2
"142","GO:0055085",5
"143","GO:0055114",16
"144","GO:0071949",1
